EventID,DisasterType,Date,Latitude,Longitude,Region,Personnel,MedicalSupplies,Shelters,FoodWater,ResponseTime,ResponseDuration,PeopleAffected,PeopleAssisted,InfrastructureCondition,PreparednessTraining,CommunityAwareness,AgenciesInvolved,CoordinationScore,CommunicationScore,EconomicDamage,Casualties,LongTermImpact
1,Flood,2010-01-01,28.26223748853308,-103.6885015656205,New Orleans,330,155,21,1279,medium,long,medium,low,Poor,No,Yes,high,medium,low,medium,high,6
2,Tornado,2010-01-06,40.247551376908895,-106.85077179664758,New Orleans,122,696,79,1323,slow,long,high,high,Good,No,No,high,medium,high,medium,medium,5
3,Earthquake,2010-01-11,45.55786186618836,-99.0610678640066,Alaska,83,123,56,669,slow,long,high,high,Poor,No,No,high,high,medium,high,medium,7
4,Earthquake,2010-01-17,43.26681723736787,-109.01036870380992,California,267,952,92,583,fast,long,medium,low,Fair,No,Yes,medium,medium,high,medium,high,7
5,Tornado,2010-01-22,46.590614046860566,-110.08219832585075,Alaska,349,542,88,1688,slow,long,medium,high,Fair,Yes,Yes,high,high,medium,low,medium,5
6,Tornado,2010-01-28,44.9043902283504,-101.99860099175126,Phoenix,168,232,82,1945,medium,long,medium,low,Fair,No,No,medium,low,medium,high,high,7
7,Flood,2010-02-02,37.0323119240407,-95.69503616019747,California,214,997,85,1448,slow,long,low,medium,Fair,No,Yes,medium,high,high,medium,low,6
8,Earthquake,2010-02-08,44.88110149804433,-74.57970273217217,Phoenix,245,912,40,773,fast,long,low,medium,Poor,No,No,high,high,high,high,medium,7
9,Tornado,2010-02-13,42.7020712318769,-96.43952274123164,New Orleans,399,451,25,354,slow,long,low,high,Good,Yes,Yes,high,high,medium,high,medium,7
10,Hurricane,2010-02-19,49.5030944473873,-121.29844622296696,New Orleans,170,644,36,782,slow,long,medium,high,Poor,No,No,low,high,medium,low,low,8
11,Hurricane,2010-02-24,45.88490636581993,-117.56025694843032,Austin,125,509,58,1723,slow,long,high,medium,Fair,No,Yes,high,high,low,low,medium,9
12,Earthquake,2010-03-02,31.56458115494986,-88.15730556190599,California,315,642,69,1178,medium,short,high,medium,Poor,No,No,high,high,high,high,high,6
13,Earthquake,2010-03-07,36.31097598690745,-104.84440898787513,California,413,884,67,824,medium,short,low,high,Fair,No,Yes,high,high,high,low,high,9
14,Tornado,2010-03-13,33.739235307391326,-98.49521567947066,New Orleans,482,431,12,803,medium,short,high,high,Good,No,No,high,high,medium,high,medium,9
15,Hurricane,2010-03-18,42.18594518087114,-78.48371079108745,Phoenix,234,353,38,1114,medium,medium,medium,high,Fair,Yes,No,medium,medium,high,low,high,7
16,Tornado,2010-03-24,35.05043868706193,-123.84442249355784,California,356,724,73,937,medium,long,medium,high,Poor,No,Yes,medium,medium,high,high,high,6
17,Flood,2010-03-29,38.22879477666507,-103.4908820498131,Alaska,233,779,35,1529,medium,short,high,high,Poor,No,No,high,high,high,low,high,8
18,Flood,2010-04-04,48.74060652028825,-71.8656477300659,Austin,370,792,76,1627,slow,long,low,medium,Poor,No,Yes,medium,high,low,medium,high,9
19,Tornado,2010-04-09,27.989796661450832,-122.92884424855365,Austin,421,890,25,1627,fast,long,high,low,Poor,No,No,high,high,medium,high,low,8
20,Hurricane,2010-04-15,34.10254685272013,-109.22570915011237,Houston,70,182,11,1862,fast,long,high,medium,Fair,No,No,medium,low,medium,medium,high,6
21,Hurricane,2010-04-20,34.34761549742383,-118.7308667338978,Houston,432,998,36,683,fast,short,medium,low,Fair,Yes,No,high,medium,high,low,high,6
22,Earthquake,2010-04-26,44.08573288884824,-77.06814747543876,California,127,597,47,385,fast,medium,high,high,Poor,No,Yes,medium,medium,high,high,medium,9
23,Tornado,2010-05-01,32.411540641015584,-81.84768001284341,Alaska,127,162,65,1156,medium,medium,high,low,Good,No,No,medium,high,high,low,low,7
24,Hurricane,2010-05-07,31.185098714100924,-88.77719594189492,Austin,316,957,72,1721,medium,long,low,high,Good,No,No,high,high,medium,high,high,8
25,Flood,2010-05-12,44.950429666711656,-92.23572138983036,California,367,840,81,1527,medium,long,low,low,Poor,Yes,No,medium,medium,medium,high,medium,7
26,Flood,2010-05-18,49.53010769974684,-71.37108492173331,New Orleans,263,603,67,1504,medium,long,high,high,Poor,Yes,No,medium,low,medium,low,high,5
27,Flood,2010-05-23,40.02614472437129,-100.2285652793868,Austin,248,751,36,1995,slow,long,low,high,Fair,Yes,Yes,low,high,high,high,high,7
28,Flood,2010-05-29,33.58388312270314,-72.75946222663862,Houston,386,456,76,418,fast,short,high,medium,Good,Yes,Yes,medium,medium,high,high,high,8
29,Earthquake,2010-06-03,30.114076069475075,-96.38629827481084,Houston,360,707,16,774,medium,long,high,high,Fair,Yes,Yes,high,low,low,low,low,7
30,Hurricane,2010-06-09,35.33827252220528,-83.98862527259833,Houston,477,118,37,1406,medium,medium,high,high,Good,Yes,Yes,medium,medium,high,high,low,9
31,Tornado,2010-06-14,33.762640100729506,-89.91960838421227,Phoenix,466,329,20,1966,medium,short,high,medium,Fair,Yes,Yes,medium,high,medium,low,high,6
32,Earthquake,2010-06-19,45.32968558023392,-95.30222131537003,Phoenix,199,341,35,542,fast,long,high,low,Poor,No,No,high,high,high,high,low,7
33,Hurricane,2010-06-25,33.792728779401095,-76.75406904986973,New Orleans,54,728,14,436,medium,long,medium,low,Poor,No,Yes,medium,high,medium,high,high,5
34,Tornado,2010-06-30,37.58552484589097,-120.8952134638231,California,499,834,56,1283,fast,long,low,medium,Fair,No,Yes,high,medium,high,high,high,7
35,Flood,2010-07-06,27.996214050252043,-74.1500498742214,Houston,66,305,86,729,slow,medium,high,medium,Good,No,No,medium,medium,high,high,medium,6
36,Flood,2010-07-11,48.221828731321125,-72.91011375118734,California,453,281,38,936,slow,long,medium,high,Good,No,No,high,low,medium,low,low,7
37,Tornado,2010-07-17,35.26330920835578,-83.57440090558187,Alaska,236,996,36,269,medium,short,low,high,Poor,No,No,medium,low,low,high,medium,9
38,Flood,2010-07-22,32.750508052213455,-89.23117000300796,New Orleans,398,427,64,1604,medium,long,low,high,Good,Yes,No,high,medium,high,high,high,9
39,Flood,2010-07-28,36.56122836381402,-83.91551508692456,California,93,236,80,1781,medium,long,medium,low,Good,No,Yes,medium,medium,high,high,high,9
40,Tornado,2010-08-02,34.88806903547773,-77.11330900776477,Houston,274,399,18,1249,medium,short,high,high,Poor,No,No,high,low,medium,medium,medium,7
41,Hurricane,2010-08-08,35.821462220425616,-106.62307069647552,California,99,322,88,1035,medium,medium,medium,medium,Poor,No,Yes,high,low,high,low,medium,7
42,Hurricane,2010-08-13,36.90936682560836,-100.32576762897476,Phoenix,319,572,33,1835,medium,long,high,high,Fair,Yes,Yes,high,medium,low,low,medium,7
43,Hurricane,2010-08-19,32.10723517725114,-123.10555000735005,Phoenix,354,909,72,749,fast,medium,low,high,Fair,Yes,No,medium,medium,medium,high,medium,8
44,Flood,2010-08-24,35.14886153544695,-75.95055325353059,Austin,268,964,40,437,slow,long,low,low,Fair,Yes,Yes,low,low,medium,high,low,6
45,Hurricane,2010-08-30,46.39560700012646,-117.3401314143868,New Orleans,100,263,12,702,medium,long,high,high,Poor,No,No,medium,high,medium,medium,low,6
46,Earthquake,2010-09-04,28.65707370137067,-74.29765830399636,Austin,231,488,25,735,medium,short,medium,high,Poor,Yes,Yes,medium,high,high,medium,high,5
47,Tornado,2010-09-10,32.89667917942651,-108.20124811347016,Phoenix,59,599,85,686,medium,medium,high,low,Poor,No,Yes,high,medium,medium,high,low,9
48,Hurricane,2010-09-15,45.37692334213776,-110.09782205414676,Alaska,244,351,22,1422,slow,medium,low,high,Good,Yes,Yes,high,medium,high,medium,high,9
49,Flood,2010-09-21,45.16132024066777,-84.88356737786832,Alaska,335,979,66,717,medium,long,high,high,Fair,Yes,Yes,low,medium,high,high,low,9
50,Hurricane,2010-09-26,43.093998087224485,-85.13708610645074,California,106,366,94,850,slow,short,low,low,Fair,Yes,No,medium,high,medium,high,medium,5
51,Hurricane,2010-10-02,45.98083177289227,-118.81828882968752,Phoenix,123,345,22,947,fast,medium,medium,medium,Poor,No,Yes,medium,high,medium,low,low,7
52,Tornado,2010-10-07,48.720091779225285,-116.36890165545172,Phoenix,231,199,63,1719,medium,long,high,high,Good,No,Yes,high,high,high,high,low,6
53,Earthquake,2010-10-13,38.11898242313936,-109.31686872913023,California,473,249,14,461,slow,long,high,high,Poor,No,Yes,high,low,high,low,high,8
54,Hurricane,2010-10-18,44.28592428615109,-121.66537965738168,Houston,456,366,43,1437,slow,medium,low,high,Poor,No,Yes,low,medium,medium,high,high,9
55,Hurricane,2010-10-24,25.0912332448365,-85.12578626723479,Alaska,485,224,66,286,slow,long,low,high,Good,Yes,No,medium,medium,low,high,low,9
56,Earthquake,2010-10-29,32.27082964157778,-86.3525802092015,Alaska,345,638,88,378,slow,long,high,low,Fair,No,No,medium,low,high,medium,medium,6
57,Tornado,2010-11-04,27.322168764909705,-94.79324376414732,New Orleans,407,388,33,1036,medium,long,high,low,Fair,Yes,Yes,high,medium,high,high,high,6
58,Hurricane,2010-11-09,45.664263743113565,-109.88672963820864,Houston,353,133,52,1657,medium,medium,low,high,Good,Yes,No,high,medium,low,low,high,8
59,Flood,2010-11-15,47.583224764119066,-90.66292595662728,Houston,191,662,78,1908,slow,medium,high,medium,Good,No,Yes,high,high,low,low,low,6
60,Flood,2010-11-20,33.60998385462665,-97.47216187884376,Phoenix,56,210,87,987,medium,short,high,high,Poor,No,Yes,low,low,low,high,high,5
61,Hurricane,2010-11-26,42.38666184581318,-116.20710255990076,Austin,68,717,78,412,medium,long,high,medium,Good,Yes,Yes,medium,high,high,high,high,7
62,Earthquake,2010-12-01,35.96161462758356,-96.39564483208667,Alaska,304,786,10,984,medium,short,medium,low,Good,Yes,No,medium,high,low,low,high,6
63,Flood,2010-12-06,34.962462289167654,-107.94080953040596,New Orleans,431,455,84,232,fast,long,high,medium,Good,No,No,high,high,medium,high,high,6
64,Earthquake,2010-12-12,42.203093198429976,-94.88735303065718,Austin,462,317,75,1817,medium,short,high,medium,Poor,No,Yes,high,low,high,high,low,7
65,Earthquake,2010-12-17,40.429768512403285,-119.65981755540707,New Orleans,169,890,79,1304,medium,medium,high,high,Poor,Yes,Yes,high,medium,high,high,high,7
66,Earthquake,2010-12-23,40.27763365837609,-73.40121793543551,California,342,358,80,805,slow,long,medium,high,Fair,No,Yes,medium,medium,medium,high,low,6
67,Earthquake,2010-12-28,47.73808839984441,-114.7942502254312,New Orleans,439,836,88,1092,fast,short,high,high,Good,No,Yes,medium,medium,low,high,high,5
68,Earthquake,2011-01-03,34.11946155438621,-86.43297154903775,New Orleans,383,361,95,912,fast,long,low,high,Fair,Yes,No,medium,medium,high,low,medium,7
69,Earthquake,2011-01-08,37.31524763397202,-89.05881050050493,Houston,118,659,29,1620,slow,long,high,medium,Good,Yes,No,medium,medium,low,high,low,9
70,Flood,2011-01-14,25.743343981897752,-87.78524477567466,Houston,133,317,51,1894,slow,long,medium,high,Fair,No,No,low,high,low,medium,medium,9
71,Hurricane,2011-01-19,34.2508719119556,-92.02610888623464,Austin,473,222,75,1874,slow,long,high,medium,Good,No,Yes,medium,medium,medium,low,high,5
72,Hurricane,2011-01-25,43.85354817555403,-81.50188180827257,Houston,466,635,73,311,fast,short,low,low,Poor,Yes,No,high,low,high,high,medium,7
73,Tornado,2011-01-30,46.761192376884544,-90.55414825795444,California,301,923,53,1062,fast,long,low,medium,Fair,Yes,Yes,medium,low,low,medium,medium,7
74,Tornado,2011-02-05,29.07178595188009,-99.0461587618817,Houston,413,478,90,1880,medium,long,high,high,Fair,No,Yes,medium,medium,medium,high,low,9
75,Flood,2011-02-10,26.69781794367426,-78.21176024697213,Alaska,282,288,91,1309,slow,medium,high,medium,Good,Yes,Yes,high,medium,medium,low,high,6
76,Hurricane,2011-02-16,25.024865342363636,-81.90192830761158,New Orleans,341,225,81,1788,fast,long,high,high,Fair,Yes,No,high,medium,medium,high,low,7
77,Hurricane,2011-02-21,31.27915804531589,-71.95253344711597,Phoenix,469,122,79,1153,fast,long,high,medium,Good,Yes,No,high,high,high,low,medium,7
78,Flood,2011-02-27,34.548223191263695,-88.55074334604197,California,479,277,26,669,slow,medium,high,high,Fair,No,No,high,high,high,medium,medium,6
79,Flood,2011-03-04,38.44574032485818,-93.63642445016534,Phoenix,409,901,84,331,slow,medium,medium,low,Fair,Yes,No,high,high,high,medium,medium,5
80,Hurricane,2011-03-10,33.289190401289474,-89.80014872949187,Alaska,283,862,26,877,slow,long,high,low,Fair,Yes,Yes,high,high,high,medium,high,7
81,Tornado,2011-03-15,37.540764123498256,-93.13470798761908,New Orleans,340,490,54,1778,slow,long,high,high,Fair,Yes,Yes,high,medium,medium,low,high,5
82,Earthquake,2011-03-21,38.10943684946612,-70.83612694176492,Houston,205,402,95,1274,medium,long,medium,medium,Fair,No,No,medium,high,high,low,medium,5
83,Flood,2011-03-26,27.861207803798575,-88.17380400672758,Houston,315,224,77,1296,slow,short,high,medium,Poor,No,Yes,medium,medium,high,high,medium,6
84,Flood,2011-04-01,39.711555390881536,-84.60377242776644,Houston,117,129,74,232,slow,long,high,medium,Good,Yes,No,high,high,high,low,medium,8
85,Hurricane,2011-04-06,29.52590394808789,-96.6563093096209,New Orleans,138,613,97,1418,slow,long,medium,medium,Fair,No,No,low,high,high,high,high,6
86,Flood,2011-04-12,40.535928550634125,-89.4241632000338,Austin,166,968,92,1810,slow,short,high,high,Poor,No,No,medium,high,medium,low,low,7
87,Hurricane,2011-04-17,27.764177597896385,-122.66757777897446,Alaska,287,898,42,1146,slow,short,high,low,Good,Yes,Yes,medium,high,medium,high,high,5
88,Earthquake,2011-04-23,33.44399789728754,-76.83012495842904,Houston,81,362,20,1438,slow,short,low,medium,Poor,No,No,high,high,high,high,low,8
89,Earthquake,2011-04-28,28.991319640350365,-94.63291380202232,Alaska,113,487,36,1698,slow,medium,medium,high,Fair,Yes,Yes,medium,medium,medium,high,low,8
90,Flood,2011-05-04,45.82604606681625,-79.90750931730426,New Orleans,403,266,19,528,medium,medium,medium,high,Poor,Yes,No,medium,high,high,low,medium,6
91,Hurricane,2011-05-09,26.90738217730193,-87.06180778316805,Alaska,166,411,90,804,slow,long,medium,high,Good,Yes,No,high,low,low,low,medium,9
92,Hurricane,2011-05-14,43.23194763481398,-74.24584455527774,Houston,114,862,58,580,medium,medium,low,medium,Good,Yes,No,medium,high,high,high,low,7
93,Earthquake,2011-05-20,31.45943378248367,-103.85172674930315,Austin,456,298,11,897,medium,medium,high,high,Good,No,No,high,high,medium,medium,medium,6
94,Earthquake,2011-05-25,38.78962228962873,-81.59072787959659,Houston,314,702,66,707,medium,long,medium,high,Fair,Yes,No,high,high,high,high,medium,7
